Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
1.5L I-VTEC VX CVT,Automatic,31871,Petrol,TN-11,1167000,"Navalur
",Chennai,Honda,2020,1,22213
1.8L I-VTEC ZX CVT,Automatic,52478,Petrol,TN-70,1630000,"Navalur
",Chennai,Honda,2019,1,31026
RXL 1.0,Manual,14023,Petrol,TN-02,460000,"Navalur
",Chennai,Renault,2022,1,8993
SPORTZ 1.2 KAPPA VTVT,Manual,110054,Petrol,TN-96,638000,"Navalur
",Chennai,Hyundai,2020,1,12473
SPORTZ 1.2 MT,Manual,73768,Petrol,TN-10,745000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2021,1,14565
1.2L I-VTEC SV,Manual,43025,Petrol,TN-18,535000,"Navalur
",Chennai,Honda,2017,2,10459
W11(O),Manual,56938,Diesel,TN-14,1571000,"Navalur
",Chennai,Mahindra,2020,2,29903
VXI O,Manual,21665,Petrol,TN-07,290000,"Thiruverkadu, Chennai
",Chennai,Maruti,2016,3,5670
SX PLUS 1.6 PETROL,Manual,63976,Petrol,TN-02,787000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2016,2,15386
VXI,Manual,6055,Petrol,TN-32,707000,"Thiruverkadu, Chennai
",Chennai,Maruti,2022,2,13822
2.0 SX MT PETROL,Manual,115484,Petrol,TN-19,836000,"Navalur
",Chennai,Hyundai,2017,2,15912
ERA PLUS (O),Manual,53098,Petrol,TN-01,293000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2016,2,5728
HIGHLINE 1.6 MPI,Manual,77313,Petrol,TN-09,629000,"Thiruverkadu, Chennai
",Chennai,Volkswagen,2016,1,12297
1.2 SX,Manual,57910,Petrol,TN-11,558000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2016,2,10909
1.5L I-VTEC V MT,Manual,58995,Petrol,TN-54,761000,"Thiruverkadu, Chennai
",Chennai,Honda,2017,2,14878
E PLUS 1.4 DIESEL,Manual,47950,Diesel,TN-12,991000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2019,1,18863
ASTA 1.1 CRDI (O),Manual,62713,Diesel,TN-07,406000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2014,2,7937
VXI+,Manual,31637,Petrol,TN-10,419000,"Navalur
",Chennai,Maruti,2017,2,8192
RXL MT,Manual,23539,Petrol,TN-12,656000,"Thiruverkadu, Chennai
",Chennai,Renault,2021,1,12825
SX PLUS 1.6 PETROL,Manual,79089,Petrol,TN-85,862000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2018,2,16407
1.6 CRDI SX,Manual,102497,Diesel,TN-18,827000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2018,1,15741
ELEGANCE 1.6 MPFI AT,Automatic,99715,Petrol,TN-23,689000,"Navalur
",Chennai,Skoda,2016,2,13470
